19:27:13.074, Connected as master
19:43:12.105, error
19:43:13.229, error
19:43:14.352, error
19:43:15.477, error
19:43:16.601, error
19:43:17.725, error
19:43:18.848, error
19:43:19.973, error
19:43:21.098, error
19:43:22.221, error
19:43:23.345, error
19:43:24.469, error
19:43:25.593, error
19:43:26.717, error
19:43:27.842, error
19:43:28.966, error
19:43:30.090, error
19:43:31.214, error
19:43:32.338, error
19:43:33.462, error
19:43:34.586, error
19:43:35.710, error
19:43:36.834, error
19:43:37.958, error
19:43:39.082, error
19:43:40.206, error
19:43:41.330, error
19:43:42.454, error
19:43:43.578, error
19:43:44.702, error
19:43:45.826, error
19:43:46.950, error
19:43:48.074, error
19:43:49.198, error
19:43:50.322, error
19:43:51.445, error
19:43:52.570, error
19:43:53.694, error
19:43:54.818, error
19:43:55.942, error
19:43:57.066, error
19:43:58.190, error
19:43:59.314, error
19:44:00.438, error
19:44:01.562, error
19:44:02.686, error
19:44:03.810, error
19:44:04.934, error
19:44:06.058, error
19:44:07.182, error
19:44:08.306, error
19:44:09.430, error
19:44:10.554, error
19:44:11.678, error
19:44:12.802, error
19:44:13.926, error
19:44:15.050, error
19:44:16.174, error
19:44:17.298, error
19:44:18.422, error
19:44:19.547, error
19:44:20.670, error
19:44:21.794, error
19:44:22.918, error
19:44:24.042, error
19:44:25.166, error
19:44:26.290, error
19:44:27.414, error
19:44:28.538, error
19:44:29.662, error
19:44:30.786, error
19:44:31.910, error
19:44:33.034, error
19:44:34.158, error
19:44:35.282, error
19:44:36.406, error
19:44:37.530, error
19:44:38.653, error
19:44:39.777, error
19:44:40.902, error
19:44:42.026, error
19:44:43.150, error
19:44:44.274, error
19:44:45.408, error
19:44:46.522, error
19:44:47.646, error
19:44:48.770, error
19:44:49.894, error
19:44:51.018, error
19:44:52.143, error
19:44:53.225, -23 dBm, 26
19:44:54.226, error
19:44:54.349, -22 dBm, 30
19:44:55.474, -23 dBm, 29
19:44:55.731, -24 dBm, 28
19:44:55.988, -23 dBm, 27
19:44:56.247, -23 dBm, 27
19:44:56.505, -23 dBm, 28
19:44:56.761, -23 dBm, 28
19:44:57.019, -23 dBm, 5
19:44:58.144, -22 dBm, 30
19:44:58.401, -22 dBm, 27
19:44:58.660, -22 dBm, 28
19:44:58.916, -23 dBm, 29
19:44:59.174, -23 dBm, 29
19:44:59.432, -23 dBm, 16
19:45:00.557, -20 dBm, 17
19:45:01.682, error
19:45:02.683, error
19:45:03.686, error
19:45:04.687, error
19:45:05.305, -22 dBm, 30
19:45:06.429, -23 dBm, 29
19:45:07.682, error
19:45:07.809, -27 dBm, -17
19:45:08.810, error
19:45:09.935, error
19:45:11.060, error
19:45:12.183, error
19:45:13.307, error
19:45:14.431, error
19:45:15.555, error
19:45:16.679, error
19:45:17.803, error
19:45:18.927, error
19:45:20.052, error
19:45:21.175, error
19:45:22.299, error
19:45:23.423, error
19:45:24.547, error
19:45:25.671, error
19:45:26.796, error
19:45:27.919, error
19:45:29.043, error
19:45:30.167, error
19:45:31.291, error
19:45:32.416, error
