00:07:13.933, Connected as slave
01:15:51.592, -9 dBm, 27
01:15:51.596, -9 dBm, 27
01:15:51.706, -9 dBm, 27
01:15:51.709, -9 dBm, 27
01:15:51.839, -9 dBm, 27
01:15:51.843, -9 dBm, 26
01:15:51.848, -9 dBm, 26
01:15:51.869, -9 dBm, 26
01:15:51.964, -9 dBm, 26
01:15:51.967, -9 dBm, 26
01:15:52.093, -9 dBm, 26
01:15:52.098, -9 dBm, 24
01:15:52.103, -9 dBm, 24
01:15:52.106, -9 dBm, 24
01:15:52.220, -9 dBm, 24
01:15:52.224, -9 dBm, 24
01:15:52.350, -9 dBm, 24
01:15:52.354, -9 dBm, 26
01:15:52.358, -9 dBm, 26
01:15:52.362, -9 dBm, 26
01:15:52.478, -9 dBm, 26
01:15:52.483, -9 dBm, 26
01:15:52.617, -9 dBm, 26
01:15:52.622, -9 dBm, 30
01:15:52.636, -9 dBm, 30
01:15:52.639, -9 dBm, 30
01:15:52.734, -9 dBm, 30
01:15:52.738, -9 dBm, 30
01:01:16:22.784, -9 dBm, 26
01:16:22.788, -9 dBm, 26
01:16:22.913, -9 dBm, 26
01:16:22.918, -9 dBm, 27
01:16:22.923, -9 dBm, 27
01:16:22.928, -9 dBm, 27
01:16:23.041, -9 dBm, 27
01:16:23.045, -9 dBm, 27
01:16:23.169, -9 dBm, 27
01:16:23.179, -9 dBm, 24
01:16:23.182, -9 dBm, 24
01:16:23.186, -9 dBm, 24
01:16:23.297, -9 dBm, 24
01:16:23.305, -9 dBm, 24
01:16:23.426, -9 dBm, 24
01:16:23.430, -9 dBm, 27
01:16:23.434, -9 dBm, 27
01:16:23.438, -9 dBm, 27
01:16:23.553, -9 dBm, 27
01:16:23.557, -9 dBm, 27
01:16:23.683, -9 dBm, 27
01:16:23.687, -9 dBm, 25
01:16:23.691, -9 dBm, 25
01:16:23.695, -9 dBm, 25
01:16:23.810, -9 dBm, 25
01:16:23.814, -9 dBm, 25
01:16:23.945, -9 dBm, 25
01:16:23.949, -9 dBm, 26
01:16:23.954, -9 dBm, 26
01:16:23.958, -9 dBm, 26
01:16:24.067, -9 dBm, 26
01:16:24.071, -9 dBm, 26
01:16:24.198, -9 dBm, 26
01:16:24.204, -9 dBm, 27
01:16:24.209, -9 dBm, 27
01:16:24.213, -9 dBm, 27
01:16:24.324, -9 dBm, 27
01:16:24.331, -9 dBm, 27
01:16:24.454, -9 dBm, 27
01:16:24.458, -9 dBm, 29
01:16:24.462, -9 dBm, 29
01:16:24.465, -9 dBm, 29
01:16:24.581, -9 dBm, 29
01:16:24.585, -9 dBm, 29
01:16:24.710, -9 dBm, 29
01:16:24.715, -9 dBm, 27
01:16:24.719, -9 dBm, 27
01:16:24.723, -9 dBm, 27
01:16:24.838, -9 dBm, 27
01:16:24.841, -9 dBm, 27
01:16:24.968, -9 dBm, 27
01:16:24.974, -9 dBm, 25
01:16:24.979, -9 dBm, 25
01:16:24.983, -9 dBm, 25
01:16:25.094, -9 dBm, 25
01:16:25.098, -9 dBm, 25
01:16:25.225, -9 dBm, 25
01:16:25.230, -9 dBm, 27
01:16:25.234, -9 dBm, 27
01:16:25.238, -9 dBm, 27
01:16:25.352, -9 dBm, 27
01:16:25.356, -9 dBm, 27
01:16:25.482, -9 dBm, 27
01:16:25.487, -9 dBm, 27
01:16:25.491, -9 dBm, 27
01:16:25.495, -9 dBm, 27
01:16:25.609, -9 dBm, 27
01:16:25.613, -9 dBm, 27
01:16:25.738, -9 dBm, 27
01:16:25.743, -9 dBm, 29
01:16:25.747, -9 dBm, 29
01:16:25.751, -9 dBm, 29
01:16:25.865, -9 dBm, 29
01:16:25.869, -9 dBm, 29
01:16:25.996, -9 dBm, 29
01:16:26.005, -9 dBm, 28
01:16:26.009, -9 dBm, 28
01:16:26.014, -9 dBm, 28
01:16:26.122, -9 dBm, 28
01:16:26.125, -9 dBm, 28
01:16:26.251, -9 dBm, 28
01:16:26.259, -9 dBm, 25
