13:18:54.800, Log started,
13:19:00.823, Log finished,
13:19:29.527, Log started,
13:19:29.599, Direct device beacon 2,
13:19:44.124, Log finished,
13:19:49.675, Log started,
13:19:54.354, Direct device master,
13:22:33.476, Radio device beacon 1,
13:32:31.491, Log finished,
13:32:37.197, Log started,
13:32:37.268, Direct device master,
13:32:59.047, Radio device beacon 1,
13:45:48.848, Beacon 1-5, 25,
13:45:51.282, Beacon 1-5, 25,
13:45:53.719, Beacon 1-15, 24,
13:45:58.590, Beacon 1-5, 27,
13:46:01.025, Beacon 1-5, 26,
13:46:03.461, Beacon 1-5, 25,
13:46:05.896, Beacon 1-5, 24,
13:46:08.332, Beacon 1-15, 24,
13:46:10.767, Beacon 1-15, 26,
13:46:13.203, Beacon 1-15, 25,
13:46:15.638, Beacon 1-5, 25,
13:46:18.074, Beacon 1-5, 26,
13:46:20.509, Beacon 1-16, 26,
13:46:22.945, Beacon 1-15, 26,
13:46:25.380, Beacon 1-5, 25,
13:46:27.815, Beacon 1-5, 25,
13:46:30.251, Beacon 1-15, 24,
13:46:32.687, Beacon 1-15, 25,
13:46:35.122, Beacon 1-5, 26,
13:46:37.558, Beacon 1-15, 28,
13:46:39.993, Beacon 1-15, 24,
13:46:42.429, Beacon 1-15, 25,
13:46:44.865, Beacon 1-15, 27,
13:46:47.300, Beacon 1-5, 25,
13:46:49.738, Beacon 1-5, 24,
13:46:52.171, Beacon 1-5, 24,
13:46:54.606, Beacon 1-15, 25,
13:46:59.477, Beacon 1-5, 25,
13:47:01.913, Beacon 1-15, 24,
13:47:04.348, Beacon 1-15, 25,
13:47:06.784, Beacon 1-5, 24,
13:47:09.220, Beacon 1-15, 27,
13:47:11.655, Beacon 1-15, 26,
13:47:14.090, Beacon 1-5, 26,
13:47:16.526, Beacon 1-15, 25,
13:47:18.962, Beacon 1-5, 26,
13:47:21.397, Beacon 1-15, 25,
13:47:23.833, Beacon 1-16, 25,
13:47:26.268, Beacon 1-15, 25,
13:47:28.705, Beacon 1-5, 25,
13:47:31.139, Beacon 1-5, 25,
13:47:33.575, Beacon 1-16, 26,
13:47:36.010, Beacon 1-5, 26,
13:47:38.445, Beacon 1-5, 24,
13:47:40.881, Beacon 1-15, 24,
13:47:43.317, Beacon 1-15, 23,
13:47:45.753, Beacon 1-15, 26,
13:47:48.188, Beacon 1-15, 25,
13:47:50.623, Beacon 1-15, 24,
13:47:53.059, Beacon 1-15, 25,
13:47:55.495, Beacon 1-5, 26,
13:48:00.365, Beacon 1-15, 23,
13:48:02.800, Beacon 1-5, 27,
13:48:05.236, Beacon 1-5, 26,
13:48:07.672, Beacon 1-15, 25,
13:48:10.113, Beacon 1-15, 26,
13:48:12.543, Beacon 1-15, 26,
13:48:14.978, Beacon 1-15, 27,
13:48:17.415, Beacon 1-15, 24,
13:48:19.849, Beacon 1-5, 24,
13:48:22.286, Beacon 1-15, 26,
13:48:24.721, Beacon 1-5, 25,
13:48:27.156, Beacon 1-5, 25,
13:48:29.592, Beacon 1-15, 26,
13:48:32.026, Beacon 1-5, 27,
13:48:34.462, Beacon 1-5, 25,
13:48:36.897, Beacon 1-5, 24,
13:48:39.334, Beacon 1-15, 27,
13:48:41.769, Beacon 1-5, 26,
13:48:44.211, Beacon 1-5, 26,
13:48:46.640, Beacon 1-5, 27,
13:48:49.075, Beacon 1-15, 25,
13:48:51.511, Beacon 1-15, 23,
13:48:53.946, Beacon 1-15, 25,
13:48:56.382, Beacon 1-15, 26,
13:49:01.253, Beacon 1-5, 26,
13:49:03.688, Beacon 1-5, 26,
13:49:06.124, Beacon 1-15, 26,
13:49:10.994, Beacon 1-5, 24,
13:49:13.430, Beacon 1-5, 25,
13:49:15.866, Beacon 1-5, 26,
13:49:18.301, Beacon 1-15, 24,
13:49:20.737, Beacon 1-5, 26,
13:49:23.173, Beacon 1-5, 24,
13:49:25.609, Beacon 1-15, 26,
13:49:28.044, Beacon 1-15, 26,
13:49:30.479, Beacon 1-15, 24,
13:49:32.915, Beacon 1-15, 26,
13:49:35.350, Beacon 1-15, 26,
13:49:37.786, Beacon 1-5, 26,
13:49:40.222, Beacon 1-15, 26,
13:49:42.657, Beacon 1-16, 26,
13:49:45.092, Beacon 1-16, 24,
13:49:47.528, Beacon 1-5, 25,
13:49:49.964, Beacon 1-15, 25,
13:49:52.399, Beacon 1-5, 26,
13:49:54.834, Beacon 1-15, 25,
13:49:57.270, Beacon 1-15, 24,
13:49:59.705, Beacon 1-15, 25,
13:50:02.141, Beacon 1-5, 24,
13:50:04.576, Beacon 1-5, 25,
13:50:07.011, Beacon 1-5, 25,
13:50:11.882, Beacon 1-15, 27,
13:50:14.318, Beacon 1-5, 24,
13:50:16.753, Beacon 1-5, 25,
13:50:19.190, Beacon 1-15, 26,
13:50:21.625, Beacon 1-15, 27,
13:50:24.061, Beacon 1-5, 25,
13:50:26.495, Beacon 1-5, 24,
13:50:28.931, Beacon 1-5, 26,
13:50:31.367, Beacon 1-5, 25,
13:50:33.803, Beacon 1-5, 25,
