21:11:25.325, error
21:13:13.934, -11, 29
21:13:14.190, -11, 28
21:13:14.448, -11, 28
21:13:14.704, -11, 28
21:13:14.962, -11, 30
21:13:15.219, -11, 28
21:13:15.477, -11, 29
21:13:15.733, -11, 29
21:13:15.991, -11, 28
21:13:16.248, -11, 27
21:13:16.506, -11, 30
21:13:16.764, -11, 27
21:13:17.021, -11, 28
21:13:17.276, -11, 28
21:13:17.534, -11, 28
21:13:17.792, -11, 28
21:13:18.050, -11, 29
21:13:18.306, -11, 27
21:13:18.564, -11, 28
21:13:18.821, -11, 30
21:13:19.078, -11, 30
21:13:19.335, -11, 29
21:13:19.593, -11, 29
21:13:19.851, -11, 27
21:13:20.108, -11, 27
21:13:20.365, -11, 28
21:13:20.622, -11, 28
21:13:20.879, -11, 29
21:13:21.137, -9, 19
21:13:21.396, -12, 27
21:13:21.650, -11, 26
21:13:21.908, -11, 27
21:13:22.164, -11, 30
21:13:22.425, -11, 29
21:13:22.679, -11, 28
21:13:22.936, -11, 29
21:13:23.193, -11, 28
21:13:23.463, -11, 30
21:13:23.706, -11, 27
21:13:23.964, -11, 29
21:13:24.220, -11, 29
21:13:24.479, -11, 30
21:13:24.734, -11, 30
21:13:24.991, -11, 29
21:13:25.247, -11, 27
21:13:25.503, -11, 27
21:13:25.762, -11, 26
21:13:26.027, -11, 27
21:13:26.275, -12, 30
21:13:26.531, -11, 27
21:13:26.787, -11, 27
21:13:27.050, -11, 30
21:13:27.301, -11, 30
21:13:27.559, -11, 27
21:13:27.818, -11, 31
21:13:28.072, -11, 27
21:13:28.333, -11, 30
21:13:28.593, -11, 30
21:13:28.843, -11, 29
21:13:29.100, -11, 29
21:13:29.357, -11, 28
21:13:29.616, -11, 27
21:13:29.870, -11, 27
21:13:30.126, -11, 29
21:13:30.384, -11, 28
21:13:30.641, -11, 27
21:13:30.897, -11, 29
21:13:31.154, -11, 29
21:13:31.411, -11, 29
21:13:31.668, -11, 28
21:13:31.926, -11, 29
21:13:32.183, -11, 28
21:13:32.440, -11, 28
21:13:32.697, -11, 28
21:13:32.947, -11, 30
21:13:33.204, -11, 28
21:13:33.461, -11, 30
21:13:33.719, -11, 27
21:13:33.975, -11, 29
21:13:34.231, -11, 29
21:13:34.489, -11, 26
21:13:34.745, -11, 28
21:13:35.014, -11, 30
21:13:35.259, -11, 26
21:13:35.516, -11, 29
21:13:35.796, -11, 27
21:13:36.030, -11, 29
21:13:36.286, -11, 29
21:13:36.543, -11, 30
21:13:36.800, -11, 28
21:13:37.057, -11, 31
21:13:37.314, -11, 30
21:13:37.570, -11, 30
21:13:37.828, -11, 28
21:13:38.092, -11, 29
21:13:38.355, -11, 27
21:13:38.598, -11, 27
21:13:38.856, -11, 28
21:13:39.112, -11, 29
21:13:39.369, -11, 29
21:13:39.626, -11, 31
21:13:39.883, -11, 29
21:13:40.140, -11, 31
21:13:40.398, -11, 28
21:13:40.653, -11, 27
21:13:40.910, -11, 29
21:13:41.168, -11, 27
21:13:41.427, -11, 28
21:13:41.681, -11, 28
21:13:41.938, -11, 28
21:13:42.194, -11, 28
21:13:42.488, -11, 29
21:13:42.708, -11, 29
21:13:42.965, -11, 29
21:13:43.222, -11, 27
21:13:43.478, -11, 29
21:13:43.736, -11, 27
21:13:43.992, -11, 29
21:13:44.249, -11, 30
21:13:44.507, -11, 29
21:13:44.764, -11, 28
21:13:45.020, -11, 28
21:13:45.276, -11, 31
21:13:45.551, -11, 30
21:13:45.791, -11, 29
21:13:46.049, -11, 31
21:13:46.304, -11, 29
21:13:46.572, -11, 31
21:13:46.820, -11, 29
21:13:47.075, -11, 29
21:13:47.333, -11, 31
21:13:47.590, -11, 29
21:13:47.846, -11, 30
21:13:48.103, -11, 30
21:13:48.361, -11, 28
21:13:48.622, -11, 28
21:13:48.877, -11, 30
21:13:49.132, -11, 29
21:13:49.388, -11, 29
21:13:49.649, -11, 28
21:13:49.902, -11, 30
21:13:50.159, -11, 29
21:13:50.417, -11, 30
21:13:50.682, -11, 28
21:13:50.930, -11, 31
21:13:51.187, -11, 27
21:13:51.443, -11, 29
21:13:51.700, -11, 28
21:13:51.957, -11, 27
21:13:52.214, -11, 29
21:13:52.469, -11, 31
21:13:52.727, -11, 27
21:13:52.994, -11, 28
21:13:53.243, -11, 28
21:13:53.499, -11, 29
21:13:53.756, -11, 28
21:13:54.017, -11, 28
21:13:54.270, -11, 27
21:13:54.526, -11, 30
21:13:54.783, -11, 27
21:13:55.048, -11, 27
21:13:55.296, -11, 29
21:13:55.560, -11, 27
21:13:55.810, -11, 26
21:13:56.163, -11, 30
21:13:56.328, -11, 27
21:13:56.584, -11, 29
21:13:56.945, -11, 29
21:13:57.216, -11, 27
21:13:57.361, -11, 28
21:13:57.666, -11, 29
21:13:57.916, -11, 30
21:13:58.560, -11, 28
21:13:58.657, -11, 27
21:13:58.797, -11, 26
21:13:58.929, -11, 30
21:13:59.150, -11, 30
21:13:59.414, -11, 28
21:13:59.664, -12, 28
21:13:59.951, -12, 26
21:14:00.230, -12, 29
21:14:00.477, -12, 27
21:14:00.703, -12, 27
21:14:01.073, -12, 27
21:14:01.205, -12, 29
21:14:01.502, -12, 26
21:14:01.720, -12, 29
21:14:01.978, -12, 28
21:14:02.236, -12, 28
21:14:02.495, -11, 29
21:14:02.749, -12, 27
21:14:03.008, -11, 29
21:14:03.265, -12, 28
21:14:03.568, -12, 27
21:14:03.780, -12, 26
21:14:04.037, -12, 26
21:14:04.293, -11, 27
21:14:04.549, -12, 26
21:14:04.807, -12, 26
21:14:05.069, -11, 29
21:14:05.325, -12, 29
21:14:05.580, -12, 28
21:14:05.839, -12, 30
21:14:06.095, -12, 28
21:14:06.360, -11, 26
21:14:06.627, -11, 29
21:14:06.871, -12, 29
21:14:07.125, -11, 27
21:14:07.386, -11, 28
21:14:07.637, -11, 29
21:14:07.897, -12, 27
21:14:08.154, -12, 28
21:14:08.407, -12, 27
21:14:08.668, -11, 27
21:14:08.922, -11, 27
21:14:09.180, -11, 30
21:14:09.439, -11, 27
21:14:09.693, -11, 29
